id,is_high_priority
25-2516222,0
25-2514086,0
25-2516030,0
25-2516552,0
25-2516424,0
25-2516304,0
25-2516104,0
25-2509968,0
25-2516268,0
25-2510878,0
25-2512224,0
25-2515332,0
25-2514642,0
25-2515950,0
25-2513909,0
25-2515007,0
25-2515304,0
25-2514225,0
25-2514953,0
25-2514455,0
25-2514647,0
25-2513703,0
25-2514811,0
25-2514826,0
25-2514716,0
25-2514759,0
25-2511077,0
25-2512691,0
25-2512484,0
25-2512192,0
25-2514676,0
25-2514461,0
25-2513661,0
25-2512604,0
25-2511256,0
25-2513637,0
25-2512607,0
25-2513345,0
25-2513782,0
25-2513542,0
25-2513359,0
25-2513524,1
25-2510376,0
25-2513347,0
25-2513087,0
25-2512196,0
25-2513103,0
25-2513285,0
25-2511107,1
25-2511673,0
25-2512886,0
25-2512698,0
25-2511082,0
25-2512684,0
25-2511619,0
25-2511923,0
25-2512639,0
25-2512849,1
25-2512853,0
25-2510455,0
25-2512387,0
25-2512039,0
25-2511852,1
25-2512374,0
25-2512329,0
25-2509941,0
25-2512033,0
25-2511607,0
25-2511808,0
25-2511321,0
25-2510768,0
25-2511002,0
25-2511959,0
25-2511033,0
25-2511497,0
25-2511069,0
25-2511773,0
25-2511750,0
25-2511300,0
25-2511159,0
25-2510858,0
25-2511104,0
25-2511084,0
25-2511209,0
25-2510577,0
25-2510658,0
25-2509917,0
25-2509859,0
25-2510073,0
25-2521912,0
25-2519134,1
25-2520069,0
25-2520388,1
25-2519335,1
25-2519217,1
25-2522478,0
25-2521995,0
25-2518847,0
25-2519760,0
25-2518059,1
25-2522862,1
25-2521276,0
25-2523712,1
25-2523703,0
25-2523078,0
25-2523664,0
25-2521472,0
25-2518088,0
25-2522131,0
25-2516837,0
25-2520611,0
25-2517646,0
25-2523513,1
25-2523230,0
25-2518383,0
25-2519686,0
25-2520583,0
25-2523533,0
25-2523448,1
25-2520684,0
25-2517995,1
25-2519500,1
25-2518048,0
25-2517922,0
25-2519242,0
25-2519247,0
25-2519273,0
25-2523717,0
25-2520348,0
25-2523339,0
25-2519102,0
25-2521854,0
25-2517954,1
25-2522597,0
25-2518265,0
25-2523742,0
25-2522000,0
25-2519353,0
25-2517374,0
25-2518612,0
25-2520483,1
25-2520697,0
25-2523758,0
25-2519458,0
25-2521908,0
25-2523445,0
25-2519628,0
25-2521486,0
25-2523341,1
25-2518930,0
25-2520987,0
25-2519675,0
25-2520739,0
25-2522485,0
25-2522054,1
25-2519904,0
25-2517870,0
25-2517998,0
25-2518000,0
25-2523586,0
25-2521812,0
25-2520244,0
25-2518868,0
25-2520536,0
25-2523005,0
25-2522753,0
25-2517908,0
25-2520589,0
25-2520992,0
25-2518467,0
25-2523373,0
25-2519096,0
25-2523286,0
25-2522341,0
25-2520005,0
25-2523614,0
25-2522423,0
25-2518315,1
25-2519295,0
25-2519030,0
25-2517574,0
25-2517243,0
25-2521529,0
25-2522087,0
25-2518954,1
25-2521507,0
25-2519425,0
25-2521248,0
25-2521666,0
25-2520056,0
25-2521881,0
25-2523237,0
25-2522824,0
25-2517931,0
25-2518869,0
25-2519559,0
25-2519173,0
25-2517206,0
25-2519191,0
25-2519218,0
25-2518086,0
25-2520133,0
25-2516812,0
25-2523560,0
25-2519234,0
25-2523590,0
25-2522167,0
25-2522829,0
25-2521964,0
25-2521035,0
25-2520482,0
25-2521549,0
25-2518244,0
25-2523707,0
25-2523428,0
25-2523683,0
25-2523403,0
25-2523368,0
25-2523056,0
25-2521730,0
25-2522525,0
25-2523643,0
25-2523678,0
25-2523416,0
25-2523709,0
25-2522081,0
25-2522957,0
25-2523601,0
25-2523569,0
25-2523581,0
25-2523682,0
25-2523659,0
25-2517692,0
25-2523496,0
25-2523366,0
25-2519953,0
25-2522236,0
25-2516887,0
25-2517701,0
25-2523303,0
25-2520663,0
25-2522379,1
25-2523095,0
25-2521878,0
25-2522625,0
25-2518046,0
25-2516947,0
25-2521997,0
25-2520665,0
25-2519762,0
25-2518308,0
25-2521663,1
25-2518848,0
25-2522010,0
25-2517282,0
25-2519755,0
25-2518837,0
25-2520465,0
25-2520691,0
25-2519136,0
25-2521830,0
25-2520833,0
25-2521256,0
25-2517926,0
25-2520737,0
25-2520195,0
25-2521170,0
25-2517856,0
25-2520556,0
25-2520274,0
25-2520617,0
25-2520652,0
25-2520595,0
25-2519256,0
25-2519560,0
25-2518662,0
25-2519965,0
25-2517201,0
25-2517893,0
25-2519993,0
25-2519831,0
25-2519245,0
25-2519949,0
25-2518884,0
25-2519789,0
25-2519683,0
25-2519253,0
25-2519310,0
25-2519744,0
25-2519556,0
25-2517354,0
25-2519348,0
25-2519288,0
25-2519146,0
25-2519258,0
25-2517970,0
25-2519161,0
25-2519126,0
25-2518851,0
25-2517493,0
25-2517963,0
25-2519103,0
25-2517608,0
25-2517603,0
25-2517365,0
25-2518110,0
25-2518178,0
25-2518140,0
25-2518281,0
25-2518172,0
25-2518128,0
25-2518030,0
25-2518053,0
25-2517005,0
25-2517871,0
25-2517887,0
25-2517973,0
25-2517937,0
25-2517421,0
25-2516821,0
25-2517012,0
25-2517721,0
25-2517291,0
25-2517363,0
25-2517249,0
25-2517169,0
25-2526299,0
25-2526797,1
25-2528377,0
25-2526699,0
25-2526159,0
25-2530100,1
25-2530678,1
25-2531824,1
25-2528015,0
25-2531396,0
25-2526869,0
25-2531728,0
25-2523999,0
25-2528044,0
25-2526981,0
25-2525630,0
25-2530070,0
25-2528332,0
25-2528462,0
25-2526190,0
25-2525750,0
25-2530301,1
25-2526838,0
25-2531437,0
25-2527119,0
25-2527713,0
25-2527452,0
25-2526618,0
25-2523820,0
25-2527664,0
25-2527855,0
25-2525037,0
25-2531539,0
25-2528136,0
25-2531228,0
25-2526167,1
25-2528489,0
25-2531206,0
25-2525597,0
25-2526249,0
25-2526098,0
25-2525652,0
25-2524743,0
25-2530091,0
25-2527052,0
25-2531791,0
25-2528546,0
25-2524322,0
25-2528458,0
25-2524639,0
25-2531386,0
25-2526702,0
25-2531274,0
25-2527110,0
25-2530851,0
25-2531763,0
25-2526140,1
25-2526443,0
25-2531052,1
25-2525347,0
25-2528288,0
25-2525128,0
25-2530691,0
25-2531512,0
25-2531587,0
25-2528013,0
25-2525451,1
25-2524360,0
25-2526207,0
25-2524270,0
25-2525251,0
25-2524011,0
25-2523862,0
25-2529946,0
25-2525142,0
25-2525124,0
25-2528974,0
25-2531582,0
25-2526169,0
25-2531810,0
25-2527012,0
25-2530332,0
25-2525430,0
25-2529397,0
25-2529087,0
25-2523982,0
25-2530283,0
25-2526997,0
25-2526993,0
25-2530730,0
25-2531720,0
25-2531388,0
25-2531592,1
25-2531401,0
25-2531499,0
25-2530586,0
25-2530054,0
25-2531772,0
25-2527020,0
25-2531531,0
25-2529037,0
25-2527305,0
25-2529919,0
25-2530211,0
25-2531640,0
25-2528942,0
25-2525976,0
25-2527179,0
25-2531165,0
25-2526157,1
25-2527124,1
25-2523948,0
25-2528555,0
25-2530285,0
25-2528170,0
25-2523989,0
25-2527296,0
25-2528629,0
25-2527438,0
25-2528838,0
25-2530050,0
25-2530602,0
25-2531710,0
25-2527809,0
25-2527963,0
25-2529255,0
25-2528926,0
25-2531076,0
25-2531593,0
25-2530941,0
25-2531589,0
25-2528643,0
25-2528872,0
25-2531754,0
25-2531681,0
25-2527984,0
25-2531730,0
25-2531505,0
25-2531664,0
25-2531610,0
25-2531571,0
25-2531607,0
25-2531410,0
25-2531383,0
25-2531336,0
25-2531261,0
25-2531215,0
25-2530982,0
25-2531380,0
25-2531233,0
25-2531350,0
25-2529483,0
25-2531235,0
25-2530267,0
25-2524808,0
25-2530183,0
25-2531021,0
25-2530415,0
25-2530266,0
25-2530052,0
25-2527860,0
25-2528404,0
25-2530795,0
25-2524852,0
25-2530065,0
25-2530164,0
25-2525351,0
25-2527171,0
25-2529602,0
25-2529748,0
25-2523864,0
25-2530062,0
25-2525650,0
25-2523978,0
25-2527108,0
25-2529741,0
25-2529557,0
25-2529022,0
25-2528501,0
25-2527749,0
25-2528689,0
25-2529170,0
25-2528021,0
25-2528253,0
25-2528494,0
25-2528646,0
25-2528523,0
25-2526186,0
25-2528039,0
25-2525731,0
25-2527989,0
25-2527006,0
25-2527728,0
25-2527817,0
25-2528538,0
25-2524701,0
25-2526663,0
25-2528295,0
25-2527476,0
25-2527988,0
25-2527585,0
25-2523805,0
25-2523940,0
25-2526830,0
25-2527544,0
25-2525121,1
25-2525947,0
25-2527743,0
25-2525636,0
25-2527605,0
25-2527408,0
25-2527073,0
25-2525992,0
25-2527036,0
25-2525120,0
25-2524724,0
25-2524495,0
25-2526987,0
25-2524976,0
25-2527126,0
25-2524432,0
25-2524395,0
25-2525948,0
25-2525477,0
25-2525739,0
25-2524251,0
25-2526100,0
25-2526574,0
25-2524256,0
25-2524451,0
25-2523946,0
25-2523949,0
25-2525710,0
25-2525548,0
25-2526258,0
25-2525489,0
25-2526093,1
25-2525622,0
25-2523901,0
25-2525149,0
25-2524079,0
25-2524992,0
25-2524133,0
25-2524442,0
25-2523846,0
25-2523920,0
25-2523845,0
25-2523974,0
25-2539436,0
25-2537007,1
25-2534619,1
25-2534031,0
25-2532109,0
25-2538991,0
25-2537574,1
25-2538604,0
25-2534705,1
25-2535664,0
25-2538327,0
25-2534382,0
25-2534864,0
25-2535769,0
25-2538283,0
25-2532375,1
25-2533324,0
25-2535227,0
25-2531940,0
25-2538836,0
25-2533599,0
25-2532335,1
25-2532592,1
25-2539465,0
25-2536537,0
25-2536518,1
25-2533337,0
25-2534807,0
25-2535024,0
25-2538558,0
25-2532775,0
25-2537012,0
25-2539252,0
25-2535629,0
25-2537444,0
25-2537846,0
25-2533778,0
25-2532624,0
25-2535811,0
25-2537786,0
25-2538970,1
25-2535413,0
25-2534202,0
25-2535228,0
25-2538951,0
25-2532576,0
25-2537253,0
25-2535018,0
25-2534853,1
25-2539529,0
25-2533228,1
25-2533296,0
25-2532091,0
25-2532945,0
25-2533704,0
25-2534490,0
25-2534292,0
25-2538069,0
25-2533486,0
25-2533247,0
25-2536379,0
25-2538653,0
25-2537250,0
25-2534830,0
25-2537498,1
25-2537604,0
25-2538196,0
25-2533047,0
25-2539463,0
25-2539098,0
25-2534249,0
25-2537569,0
25-2537568,0
25-2539498,0
25-2539122,0
25-2539157,0
25-2538750,0
25-2533268,0
25-2539457,0
25-2537820,0
25-2538723,0
25-2538759,1
25-2539494,0
25-2538961,0
25-2535695,0
25-2538839,0
25-2532024,0
25-2538362,0
25-2539507,0
25-2539163,0
25-2536066,0
25-2534335,0
25-2534234,0
25-2538950,0
25-2533338,0
25-2535624,0
25-2539634,0
25-2538136,0
25-2534631,0
25-2539357,0
25-2534914,0
25-2539113,0
25-2539583,0
25-2539453,1
25-2539489,0
25-2539130,0
25-2539418,0
25-2532215,0
25-2539456,0
25-2538887,0
25-2534971,0
25-2539609,0
25-2539559,0
25-2534176,0
25-2539385,0
25-2539116,0
25-2539562,0
25-2536362,1
25-2539142,0
25-2536248,0
25-2538631,0
25-2538561,0
25-2538780,0
25-2538160,0
25-2538651,0
25-2534604,0
25-2538040,0
25-2534288,0
25-2538502,0
25-2536975,0
25-2538598,0
25-2536941,0
25-2536441,0
25-2538448,1
25-2534273,0
25-2537955,0
25-2537258,0
25-2532357,0
25-2537730,0
25-2537596,0
25-2537566,0
25-2535438,1
25-2537252,0
25-2531911,0
25-2537459,0
25-2534959,0
25-2534303,0
25-2534648,0
25-2537223,0
25-2536470,0
25-2535260,0
25-2535986,0
25-2535322,0
25-2535914,0
25-2537004,0
25-2535710,0
25-2536837,0
25-2536700,0
25-2534937,0
25-2535447,0
25-2536661,0
25-2536520,0
25-2535072,0
25-2536483,0
25-2533032,0
25-2534561,0
25-2536058,0
25-2536069,0
25-2535697,0
25-2535049,0
25-2535337,0
25-2536232,0
25-2533734,0
25-2535513,0
25-2535436,0
25-2535163,0
25-2533541,0
25-2534559,0
25-2535114,0
25-2534305,0
25-2533738,0
25-2534686,0
25-2533230,0
25-2533189,0
25-2533380,0
25-2532608,0
25-2533676,0
25-2533026,0
25-2533053,0
25-2533183,0
25-2533029,0
25-2533290,0
25-2533121,0
25-2533019,0
25-2532523,0
25-2532761,0
25-2532904,0
25-2532239,0
25-2532221,0
25-2532004,0
25-2532081,0
25-2531923,0
25-2546537,1
25-2545830,0
25-2545977,0
25-2540691,0
25-2541328,0
25-2540492,0
25-2544926,0
25-2544239,0
25-2543954,0
25-2545175,0
25-2544252,1
25-2546571,1
25-2545341,0
25-2546199,0
25-2540184,0
25-2546673,0
25-2545196,0
25-2544459,0
25-2539844,0
25-2543318,0
25-2545111,0
25-2541438,0
25-2544170,1
25-2541330,0
25-2542209,0
25-2543467,0
25-2540384,0
25-2545925,0
25-2540146,1
25-2543946,0
25-2547127,0
25-2546209,0
25-2546031,0
25-2547992,0
25-2547834,0
25-2539786,0
25-2543918,0
25-2541530,0
25-2540263,0
25-2542660,0
25-2542508,0
25-2548116,0
25-2539759,0
25-2539891,0
25-2546833,0
25-2545225,0
25-2541646,0
25-2541103,0
25-2548375,0
25-2548357,0
25-2545991,0
25-2547784,0
25-2542903,0
25-2542107,1
25-2539929,0
25-2546616,0
25-2548194,0
25-2542317,0
25-2548285,0
25-2546363,0
25-2544442,0
25-2542652,0
25-2547412,0
25-2543150,0
25-2546190,0
25-2544099,0
25-2545967,0
25-2542907,0
25-2547773,1
25-2544810,0
25-2548135,0
25-2546656,0
25-2548129,0
25-2542195,0
25-2544537,0
25-2547793,0
25-2543993,0
25-2548345,0
25-2548554,1
25-2540136,0
25-2548197,0
25-2544949,0
25-2547754,0
25-2541456,0
25-2542345,0
25-2544990,0
25-2545186,0
25-2545559,0
25-2547826,0
25-2545407,0
25-2545979,0
25-2546674,0
25-2547926,0
25-2548686,0
25-2547530,0
25-2548154,0
25-2546547,0
25-2547712,0
25-2546648,0
25-2547889,0
25-2548261,0
25-2543048,0
25-2547486,0
25-2548555,0
25-2548399,0
25-2548153,0
25-2547980,0
25-2548263,0
25-2542371,0
25-2546826,0
25-2544371,0
25-2548666,0
25-2547985,0
25-2548085,0
25-2548148,0
25-2543213,0
25-2542639,0
25-2541758,0
25-2547606,0
25-2546421,0
25-2542522,0
25-2540058,0
25-2545598,0
25-2547318,0
25-2546544,0
25-2543211,0
25-2545946,0
25-2546730,0
25-2545183,1
25-2544910,0
25-2544036,0
25-2541564,0
25-2541697,0
25-2545909,0
25-2543307,0
25-2544458,0
25-2542556,0
25-2541851,0
25-2544336,0
25-2543110,0
25-2542492,0
25-2545249,0
25-2545367,0
25-2545125,0
25-2545177,0
25-2544799,0
25-2544348,0
25-2543156,0
25-2544517,0
25-2545127,0
25-2543346,0
25-2543063,0
25-2543071,0
25-2544444,0
25-2544456,0
25-2544640,0
25-2541776,0
25-2540653,0
25-2540667,0
25-2543242,0
25-2544007,0
25-2542910,0
25-2543097,0
25-2543826,0
25-2541596,0
25-2542716,0
25-2541947,0
25-2543343,0
25-2542611,0
25-2543331,0
25-2541318,0
25-2542928,0
25-2541065,0
25-2542416,0
25-2542434,0
25-2541827,0
25-2541891,0
25-2541982,0
25-2540051,0
25-2542226,0
25-2540587,0
25-2541710,0
25-2541620,0
25-2539833,0
25-2541731,0
25-2540688,0
25-2541120,0
25-2541284,0
25-2540931,0
25-2540037,0
25-2540013,0
25-2540124,0
25-2539757,1
25-2555079,0
25-2549575,0
25-2553539,0
25-2554130,0
25-2557192,1
25-2554325,1
25-2555871,0
25-2548996,0
25-2549689,0
25-2555525,0
25-2550054,0
25-2557633,0
25-2557055,0
25-2557113,0
25-2554543,0
25-2552253,0
25-2555501,0
25-2551815,0
25-2552092,0
25-2552408,0
25-2556112,0
25-2557109,0
25-2557275,0
25-2551331,0
25-2552268,0
25-2551713,0
25-2549152,0
25-2557468,0
25-2555577,0
25-2555738,0
25-2555582,0
25-2554795,0
25-2553382,0
25-2555342,0
25-2550724,0
25-2550502,0
25-2550023,0
25-2551992,0
25-2556320,0
25-2555168,1
25-2550106,0
25-2551394,0
25-2548744,0
25-2548774,0
25-2553277,0
25-2557888,0
25-2549775,1
25-2550419,1
25-2556452,0
25-2555318,0
25-2549268,0
25-2552823,0
25-2549848,0
25-2549973,0
25-2556087,0
25-2550112,0
25-2554849,0
25-2555576,0
25-2553725,0
25-2551675,0
25-2549338,0
25-2554178,0
25-2552491,0
25-2554903,0
25-2555473,0
25-2554639,0
25-2551854,0
25-2551991,0
25-2550943,0
25-2549726,0
25-2553512,0
25-2551855,0
25-2551678,0
25-2557773,0
25-2549944,0
25-2552335,0
25-2553947,1
25-2552184,0
25-2555586,0
25-2553787,0
25-2552180,0
25-2552221,0
25-2557039,0
25-2556334,0
25-2553817,0
25-2552367,1
25-2553553,0
25-2549812,0
25-2555699,0
25-2550072,0
25-2555402,0
25-2554717,0
25-2557551,0
25-2557858,0
25-2557500,0
25-2551861,0
25-2554004,0
25-2552262,0
25-2557808,0
25-2557834,0
25-2557098,0
25-2550015,0
25-2554944,0
25-2555689,0
25-2552292,1
25-2553250,0
25-2557190,0
25-2554315,0
25-2550624,0
25-2554796,0
25-2551158,0
25-2557879,0
25-2553260,0
25-2555345,0
25-2557060,0
25-2557841,0
25-2557336,0
25-2557890,0
25-2550068,0
25-2551868,0
25-2557718,0
25-2555608,0
25-2555056,0
25-2554234,0
25-2555526,0
25-2557531,0
25-2557021,0
25-2557653,0
25-2556845,0
25-2551893,0
25-2553297,0
25-2554332,0
25-2549174,0
25-2557187,0
25-2553217,0
25-2556730,0
25-2556990,0
25-2556599,0
25-2556976,0
25-2556258,0
25-2556615,0
25-2551801,0
25-2555555,0
25-2552892,0
25-2556444,0
25-2555961,0
25-2551745,0
25-2555581,0
25-2555529,0
25-2554438,0
25-2553716,0
25-2555312,0
25-2555721,0
25-2555680,0
25-2555245,0
25-2550123,0
25-2554908,0
25-2554647,0
25-2554933,0
25-2553917,0
25-2553575,0
25-2554809,0
25-2554137,0
25-2554688,0
25-2553850,0
25-2554427,0
25-2553718,0
25-2553969,0
25-2553777,0
25-2553926,0
25-2551798,0
25-2553622,0
25-2553767,0
25-2550143,0
25-2553708,0
25-2552525,0
25-2553009,0
25-2553074,0
25-2552167,0
25-2552193,0
25-2548807,1
25-2549840,0
25-2550136,0
25-2553070,0
25-2552264,0
25-2552294,0
25-2552693,0
25-2552597,0
25-2552476,0
25-2550728,0
25-2550578,0
25-2551620,0
25-2550687,0
25-2551799,1
25-2550289,0
25-2552076,0
25-2550073,0
25-2550024,0
25-2551743,0
25-2550993,0
25-2549999,0
25-2549341,0
25-2549971,0
25-2550057,0
25-2550328,0
25-2550859,0
25-2549935,0
25-2550189,0
25-2550719,0
25-2550306,0
25-2549969,0
25-2550309,0
25-2548746,0
25-2549010,0
25-2549658,0
25-2549813,0
25-2549832,1
25-2549752,0
25-2549688,0
25-2549542,0
25-2559327,1
25-2563223,0
25-2565134,1
25-2567659,1
25-2561197,1
25-2567834,0
25-2565812,1
25-2565887,0
25-2561846,0
25-2567223,0
25-2559289,1
25-2565253,0
25-2566081,0
25-2563213,0
25-2567909,1
25-2562316,0
25-2558042,0
25-2558057,0
25-2558546,1
25-2561825,0
25-2558067,0
25-2567759,0
25-2561982,0
25-2564045,1
25-2566286,0
25-2558158,0
25-2561865,0
25-2558800,0
25-2565743,0
25-2567419,0
25-2562323,0
25-2566858,1
25-2563158,0
25-2567562,0
25-2564060,0
25-2562789,0
25-2560592,0
25-2562787,0
25-2565820,1
25-2564643,0
25-2567065,1
25-2561980,0
25-2564175,0
25-2565716,1
25-2561988,1
25-2560922,0
25-2558097,0
25-2561888,1
25-2565531,1
25-2567155,0
25-2567472,1
25-2566759,0
25-2563974,0
25-2565115,0
25-2565865,0
25-2559855,0
25-2560097,0
25-2559063,0
25-2566896,0
25-2567928,1
25-2564417,0
25-2567668,0
25-2563319,0
25-2562480,0
25-2561587,0
25-2567776,0
25-2564270,0
25-2567646,0
25-2567067,0
25-2563610,0
25-2567519,0
25-2567181,0
25-2565556,0
25-2558798,0
25-2564101,0
25-2560627,0
25-2567370,0
25-2561279,0
25-2561919,0
25-2564396,0
25-2566694,1
25-2560584,0
25-2565891,0
25-2567540,0
25-2567837,0
25-2567344,0
25-2563545,0
25-2562220,0
25-2562891,0
25-2565314,0
25-2567883,0
25-2560110,0
25-2559899,0
25-2565541,0
25-2565528,0
25-2565056,0
25-2560779,0
25-2565689,0
25-2567490,0
25-2566429,0
25-2566830,0
25-2565881,0
25-2566922,0
25-2567559,0
25-2565997,0
25-2566485,0
25-2567420,0
25-2566557,0
25-2567408,0
25-2567565,0
25-2567331,0
25-2566154,0
25-2567786,0
25-2565781,0
25-2564512,0
25-2567553,0
25-2567895,0
25-2567708,0
25-2567188,0
25-2566265,0
25-2567254,0
25-2565965,0
25-2566764,0
25-2559578,0
25-2567036,0
25-2565266,0
25-2566587,0
25-2566556,0
25-2565268,0
25-2566362,0
25-2559025,0
25-2566323,0
25-2562355,0
25-2566174,0
25-2566177,0
25-2565955,0
25-2563728,0
25-2565804,0
25-2565772,0
25-2562864,0
25-2565915,0
25-2565442,0
25-2563628,0
25-2565491,0
25-2564393,0
25-2565737,0
25-2565725,0
25-2564475,0
25-2560133,0
25-2565021,0
25-2562285,0
25-2564515,0
25-2559673,0
25-2563168,0
25-2564693,0
25-2564403,0
25-2563991,0
25-2564182,0
25-2564452,0
25-2564413,0
25-2563504,0
25-2564371,0
25-2564173,0
25-2560194,0
25-2564081,0
25-2564122,0
25-2561968,0
25-2563305,0
25-2564067,0
25-2563687,1
25-2559571,0
25-2563290,0
25-2563328,0
25-2560878,1
25-2563261,0
25-2561607,0
25-2561340,0
25-2563224,0
25-2560724,0
25-2561458,0
25-2562832,0
25-2562286,0
25-2562287,0
25-2562042,0
25-2559660,0
25-2562280,0
25-2562165,0
25-2561906,0
25-2561377,0
25-2559936,0
25-2561962,0
25-2561346,0
25-2561659,0
25-2561026,0
25-2561127,0
25-2561284,0
25-2560559,1
25-2558938,0
25-2561204,0
25-2559652,0
25-2560638,0
25-2560132,1
25-2559945,0
25-2560283,0
25-2560149,0
25-2559865,0
25-2559789,0
25-2559594,0
25-2560028,0
25-2559058,0
25-2559066,0
25-2558206,0
25-2558913,0
25-2558362,0
25-2558168,0
25-2570756,0
25-2573368,0
25-2575314,1
25-2569767,1
25-2576174,0
25-2569722,0
25-2571782,0
25-2572572,1
25-2571066,1
25-2571595,0
25-2574097,0
25-2570483,0
25-2572873,0
25-2574882,0
25-2577073,0
25-2572815,1
25-2576870,0
25-2574810,0
25-2570272,1
25-2570502,1
25-2575330,0
25-2569422,0
25-2575813,0
25-2576527,0
25-2576615,1
25-2571649,1
25-2578030,0
25-2569540,1
25-2570334,1
25-2568125,0
25-2569452,0
25-2578014,0
25-2575356,0
25-2575353,1
25-2572385,0
25-2573414,0
25-2575121,0
25-2573856,0
25-2573193,0
25-2570719,0
25-2577652,0
25-2571808,0
25-2573664,0
25-2572111,0
25-2576443,0
25-2570781,1
25-2574982,0
25-2574610,1
25-2575165,0
25-2577217,0
25-2571673,0
25-2568652,0
25-2570548,0
25-2571991,0
25-2577640,0
25-2574852,0
25-2577883,1
25-2571482,1
25-2577891,0
25-2575248,0
25-2577398,0
25-2577348,0
25-2569352,0
25-2574068,0
25-2569860,1
25-2572024,0
25-2571518,0
25-2572850,1
25-2572447,0
25-2568021,0
25-2577262,0
25-2573643,0
25-2576407,0
25-2575308,0
25-2569152,0
25-2573590,0
25-2577242,0
25-2570602,0
25-2575405,0
25-2573620,0
25-2571988,0
25-2575836,0
25-2574149,0
25-2571277,0
25-2577609,0
25-2568092,0
25-2570711,0
25-2577215,0
25-2573137,0
25-2570977,0
25-2573229,1
25-2577927,0
25-2577900,0
25-2577559,0
25-2577923,0
25-2571520,0
25-2576584,0
25-2568571,0
25-2568938,0
25-2577857,1
25-2573266,0
25-2577159,0
25-2575691,0
25-2573265,0
25-2574782,0
25-2577532,0
25-2576308,0
25-2577014,0
25-2576954,0
25-2574246,0
25-2574281,0
25-2577533,0
25-2577485,0
25-2575374,0
25-2575013,0
25-2577552,0
25-2575518,0
25-2575735,1
25-2575640,0
25-2573594,0
25-2577993,0
25-2577048,0
25-2576956,0
25-2574911,0
25-2575791,0
25-2574500,0
25-2575064,0
25-2576687,0
25-2572223,0
25-2574217,0
25-2576120,0
25-2576030,1
25-2575774,0
25-2575736,0
25-2575646,0
25-2575370,0
25-2575473,0
25-2574834,0
25-2574736,0
25-2573864,0
25-2572289,0
25-2569576,0
25-2573225,0
25-2569717,0
25-2572532,0
25-2574428,0
25-2573477,0
25-2573866,0
25-2574020,0
25-2572902,0
25-2572611,0
25-2572194,0
25-2574039,0
25-2573771,0
25-2573821,1
25-2572025,0
25-2572996,0
25-2573778,0
25-2571699,0
25-2573753,0
25-2568914,0
25-2573300,0
25-2573168,0
25-2573216,0
25-2572422,0
25-2568071,0
25-2573342,0
25-2573118,0
25-2572710,0
25-2571540,0
25-2569348,1
25-2571955,0
25-2570320,0
25-2572648,0
25-2572006,0
25-2569460,0
25-2569973,0
25-2571426,0
25-2570921,0
25-2571766,0
25-2570032,0
25-2568083,0
25-2569691,0
25-2568074,0
25-2570257,0
25-2570411,0
25-2568200,0
25-2570440,0
25-2570288,0
25-2569861,0
25-2570229,0
25-2570330,0
25-2568978,0
25-2569543,0
25-2569811,1
25-2570105,0
25-2569531,0
25-2568541,0
25-2569826,0
25-2569580,0
25-2568896,0
25-2568516,0
25-2568388,0
25-2568593,0
25-2568122,0
25-2568065,0
25-2579807,1
25-2581679,1
25-2587734,0
25-2580997,0
25-2579660,1
25-2580529,0
25-2578212,1
25-2581354,1
25-2585300,0
25-2578165,0
